Order, No, Type, Hotel Name, Hotel Country, Hotel CityMatched Link 1,Matched Link 2,Matched Link 3,Matched Link 4,Matched Link 5,Matched Link 6,Matched Link 7,Matched Link 8,Matched Link 9,Matched Link 10
"1","29478", Child,"Urban Cube Hostel Sevilla","Spain","Seville","https://www.hostelworld.com/hostels/p/328090/urban-cube-hostel-sevilla/","https://www.kayak.com/Seville-Hotels-Urban-Cube-Hostel-Sevilla.1071853253.ksp","https://www.seville-eshotels.com/en/property/hostel-urban-cube-sevilla.html","https://www.hostelz.com/hostel/508039-Urban-Cube-Hostel-Sevilla","","","","","",""
"2","29482", Child,"The Resident Edinburgh - Newly Open","United Kingdom","Edinburgh","https://www.residenthotels.com/edinburgh/","https://www.hotel-edinburgh.org/en/property/the-resident-newly-open.html","https://theresidentnewlyopen.edinburghhotel.info/en-us/","https://theresident.com-edinburgh.com/","https://www.hotel-edinburgh.org/en/property/the-resident-newly-open/rooms.html","","","","",""
"3","29486", Child,"Bunks at Rode","Norway","Oslo","https://www.bunks.no/","https://www.bunks.no/private","https://www.hostelworld.com/hostels/p/324980/bunks-at-rode/","https://www.hostelz.com/hostel/501336-Bunks-At-Rode","https://www.bunks.no/social","","","","",""
"4","29503", Child,"Toyoko Inn Kokura-eki Kita-guchi","Japan","Kitakyushu","https://www.toyoko-inn.com/eng/search/detail/00360","https://www.japanican.com/hotel/japan/kitakyushu/toyoko-inn-kokura-eki-kita-guchi","https://www.japanican.com/hotel/japan/kitakyushu/toyoko-inn-kokura-eki-shinkansenguchi","https://www.klook.com/en-US/hotels/detail/1325924-toyoko-inn-kokuraeki-kitaguchi/","https://www.toyoko-inn.com/index.php/eng/search/detail/00360/","https://www.priceline.com/hotel-deals/en-us/P5000494909/H248086704/toyoko-inn-kokura-eki-kita-guchi.ssp","","","",""
"5","29515", Child,"Vincci Bonjardim","Portugal","Porto","https://en.vinccibonjardim.com/","https://en.vinccihoteles.com/hotels/porto/vincci-bonjardim/","https://pt.vinccibonjardim.com/","https://www.vinccibonjardim.com/","https://pt.vinccihoteles.com/hoteis/porto/vincci-bonjardim/","https://www.vinccihoteles.com/hoteles/oporto/vincci-bonjardim/","https://fr.vinccihoteles.com/hotels/porto/vincci-bonjardim/","","",""
"6","29524", Child,"Wellcomm Spa & Hotel","Colombia","MedellÃ­n","https://wellcommhotels.com/en/","https://wellcomm-spahotel-by-aken-mind-collection.hotels-medellin.com/en/","https://wellcommhotels.com/en/spa/","https://wellcomm-spahotel-by-aken-mind-collection.medellin-hotels.com/en/","https://wellcommhotels.com/es/","","","","",""
"7","29528", Child,"Front One Boutique Hotel Taman Anggrek","Indonesia","Jakarta","https://azanahotel.com/hotel/front-one-boutique-taman-anggrek","https://www.jakartahotels.net/front-one-boutique-taman-anggrek.en.html","https://www.traveloka.com/id-id/hotel/indonesia/front-one-boutique-hotel-taman-anggrek-9000002314118","https://www.travelated.com/indonesia/jakarta-city/front-one-boutique-hotel-taman-anggrek","https://front-one-boutiquetaman-anggrek.jakartatophotels.com/en/","","","","",""
"8","29541", Child,"Hotel 1900 Chinatown","Singapore","Singapore","https://hotel1900.com.sg/","https://www.klook.com/en-SG/hotels/detail/1219588-hotel-1900--chinatown/","","","","","","","",""
"9","29548", Child,"Hotel Morris Sydney, Handwritten Collection","Australia","Sydney","https://all.accor.com/hotel/A1G7/index.en.shtml","https://hotelmorris.com.au/","https://www.sydney.com/destinations/sydney/sydney-city/chinatown-and-haymarket/accommodation/hotel-morris-sydney-handwritten-collection","https://www.hotel.com.au/sydney/hotel-morris-sydney--handwritten-collection.htm","https://www.csptimes.com/post/hotel-morris-sydney-review","https://morrishandwrittencollection.hotelsydney.net/en/","https://www.hotelscombined.ae/Hotel/Hotel_Morris_Handwritten_Collection.htm","https://planetofhotels.com/en/australia/sydney/hotel-morris-sydney","",""
"10","29556", Child,"Flamingo Inn","United States","Seaside Heights (NJ)","https://www.hotels.com/ho458981/flamingo-inn-seaside-heights-united-states-of-america/","https://www.kayak.com/Seaside-Heights-Hotels-Flamingo-Inn.3930107.ksp","https://www.momondo.com/hotels/seaside-heights/Flamingo-Inn.mhd3930107.ksp","https://www.flamingoinnmotelseasideheights.top/","https://www.reservations.com/hotel/rodeway-inn-seaside-heights-seaside-heights-nj","","","","",""
